country,word,pairs,pct_same_number,pct_true
US,partners,323570,2.2202305528942734,1.5937818710016378
US,group,263909,0.8317260874013391,0.0
US,holdings,238121,0.8096723934470289,0.0
US,center,150167,11.948697117209507,12.34225895170044
India,enterprises,79738,11.10762747999699,0.0
India,industries,78875,11.117591125198098,0.0
US,associates,78629,1.748718666140991,0.0
US,services,77843,16.45234638952764,17.224413242038462
US,care,74042,1.8084330515113045,0.0
India,smt,70246,28.035760043276486,33.3414002220767
India,sri,70234,28.217102827690294,33.394082638038554
India,shri,70010,27.914583630909874,33.120982716754746
India,mr,69910,27.73566013445859,32.89229008725504
India,dr,69752,28.260121573574953,33.39975914669113
India,center,66760,24.709406830437388,29.529658478130617
India,ventures,58207,12.235641761300187,0.0
India,exports,58044,12.063262352697954,0.0
India,group,54984,11.365124399825403,0.0
India,infratech,54125,12.421247113163972,0.0
India,overseas,53847,12.745371144167736,0.0
US,clinic,53330,0.6975435964747797,0.0
India,services,51665,23.408497048291878,26.816994096583763
India,holdings,49867,12.491226662923376,0.0
US,coastal,44264,1.0030724742454364,0.0
US,harbor,43319,0.8933724231861309,0.0
US,highland,43179,0.9286921883322912,0.0
US,metro,42891,0.9932153598657061,0.0
US,summit,42260,1.0104117368670138,0.0
US,valley,41532,1.0040450736781277,0.0
US,downtown,41516,0.7804220059736006,0.0
US,northside,41290,0.7483652216032938,0.0
US,midtown,41097,0.7032143465459766,0.0
US,north,40753,0.8318406006919736,0.0
US,uptown,40435,0.6924693953258316,0.0
US,eastgate,40370,0.7778053009660638,0.0
US,lakeside,40338,0.7387574991323318,0.0
US,westgate,40326,0.8084114467093191,0.0
US,southside,40317,0.7416226405734553,0.0
US,greater,40172,0.6596634471771383,0.0
US,riverside,40005,0.7374078240219972,0.0
US,east,39811,0.7937504709753586,0.0
US,west,39517,0.8882253207480324,0.0
US,south,38512,0.8023473203157457,0.0
US,central,38428,0.8119079837618403,0.0
US,service,35887,17.159417059102182,18.162565831638197
India,solutions,26130,8.258706467661693,0.0
India,partners,25056,18.7220625798212,21.412037037037038
India,india,24051,3.5341565839258244,0.0
India,trading,24013,8.503727147794944,0.0
India,technologies,23522,8.864042173284584,0.0
India,hotel,22819,9.439502169244927,0.0
India,engineering,20309,9.58195873750554,0.0
India,foods,19792,9.569523039611964,0.0
India,constructions,19172,9.65470477780096,0.0
India,new,19041,4.899952733574917,0.0
India,service,18991,30.40387551998315,35.81170027907956
US,com,18946,32.96738097751504,36.9629473239734
US,pediatric,13677,3.7873802734517805,0.0
India,care,13207,2.703111986067994,0.0
India,stil,13203,7.14231614027115,0.0
India,international,12648,5.13124604680582,0.0
India,svits,12375,7.11919191919192,0.0
India,tekstails,12263,7.567479409606133,0.0
India,stors,12205,7.791888570258091,0.0
India,tech,12141,5.139609587348653,0.0
India,global,12111,5.020229543390306,0.0
India,north,11959,4.741199096914458,0.0
India,city,11681,5.119424706788802,0.0
US,v,11577,0.5182689816014512,0.0
India,associates,11540,2.3916811091854417,0.0
India,phrnicr,11328,7.909604519774012,0.0
India,clinic,10876,2.188304523721957,0.0
India,jnrl,10812,8.22234554199038,0.0
India,jay,10610,5.768143261074457,0.009425070688030161
India,medikls,10375,7.672289156626507,0.0
India,tredrs,10332,8.042973286875727,0.0
India,bekri,10137,8.24701588241097,0.0
India,traders,10118,8.272385847005337,0.0
India,garmemts,10117,7.867945042996936,0.0
US,trust,9812,15.552384834896046,16.44924582144313
India,garments,9787,9.410442423623174,0.0
India,shree,9600,5.958333333333334,0.0
India,south,9576,5.659983291562239,0.0
India,provijn,9211,7.95787645206818,0.0
India,motrs,9202,6.987611388828515,0.0
US,iv,8965,1.059676519799219,0.0
India,bakery,8958,8.372404554588078,0.0
India,pharmesi,8958,7.691448984148247,0.0
India,medicals,8942,7.906508611048982,0.0
India,pharmacy,8906,8.6683134965192,0.0
India,hardware,8861,8.768761990745965,0.0
India,star,8701,5.194805194805195,0.0
India,furniture,8694,8.960202438463307,0.0
India,ilektroniks,8692,6.983433041877589,0.0
US,lnc,8578,36.045698297971555,39.83446024714385
India,automobiles,8575,8.174927113702623,0.0
India,stores,8534,8.471994375439419,0.0
India,jvelrs,8518,6.644752289269781,0.0
India,provision,8469,8.548825126933522,0.0
India,restoremt,8355,7.815679233991622,0.0
US,vi,8342,0.8750899064972428,0.0
India,sweets,8310,8.483754512635379,0.0
India,dream,8276,5.099081681971967,0.0
India,restaurant,8269,8.779779900834441,0.0
India,otomobails,8259,7.216370020583605,0.0
India,krishna,8226,4.801847799659615,0.0
India,jewellers,8195,9.017693715680293,0.0
India,innovative,8185,5.864386072083079,0.0
India,delhi,8180,5.1711491442542785,0.0
India,electronics,8169,8.850532500918105,0.0
India,east,8137,5.321371512842571,0.0
India,maa,8136,5.850540806293019,0.0
India,laxmi,8079,6.51070677063993,0.012377769525931427
India,hari,8048,5.193836978131213,0.0
India,motors,8039,9.615623833810176,0.0
India,one,8031,6.238326484871124,0.0
India,big,8010,6.0424469413233455,0.0
India,surya,7974,6.2202157010283425,0.0
India,best,7971,5.256555011918204,0.0
India,red,7898,5.976196505444417,0.0
India,agencies,7893,9.337387558596225,0.0
US,iii,7870,0.7878017789072427,0.0
India,ss,7864,4.946592065106816,0.0
India,my,7835,4.990427568602425,0.0
India,general,7823,8.947973923047424,0.0
India,ace,7818,6.881555385008954,0.0
India,arihant,7816,5.501535312180144,0.0
India,royal,7784,5.536998972250771,0.0
India,real,7776,5.375514403292181,0.0
India,vision,7774,5.775662464625675,0.0
India,classic,7764,6.3240597630087585,0.0
India,bright,7750,5.741935483870968,0.0
India,life,7745,6.365397030342155,0.0
India,shivam,7738,5.388989402946498,0.0
India,digital,7734,6.2710111197310585,0.0
India,steel,7713,10.35913392972903,0.0
India,perfect,7711,5.758008040461679,0.0
India,hardveyr,7694,6.849493111515467,0.0
India,lotus,7673,6.594552326339111,0.0
India,silver,7655,5.708687132593076,0.0
India,shakti,7644,5.285190999476714,0.0
India,textiles,7642,9.630986652708714,0.0
India,tirupati,7618,5.263848779207141,0.0
India,supreme,7598,5.738352197946829,0.0
US,council,7588,20.07116499736426,21.36267791249341
India,modern,7580,5.554089709762533,0.0
India,jain,7550,6.198675496688741,0.0
India,com,7502,34.57744601439616,44.3881631564916
India,blue,7500,4.626666666666666,0.0
India,om,7484,5.090860502405131,0.0
US,global,7467,2.196330520958886,0.0
India,aditya,7466,6.054111974283418,0.0
India,sai,7429,6.111185893121551,0.0
India,super,7407,6.034831915755366,0.0
US,association,7384,20.85590465872156,21.979956663055255
India,ejemsij,7353,7.479940160478717,0.0
India,smart,7352,6.33841131664853,0.0
India,future,7349,6.871683222207103,0.0
India,galaxy,7345,5.541184479237576,0.0
US,federation,7339,19.702956806104375,20.970159422264615
India,prime,7337,5.942483303802644,0.054518195447730684
India,green,7308,5.760810071154899,0.0
India,swastik,7307,6.322704256192692,0.0
India,great,7306,5.7350123186422115,0.0
India,premier,7299,6.0556240580901495,0.0
India,brothers,7298,4.343655796108522,0.0
India,sun,7297,5.659860216527339,0.0
India,shiva,7276,6.390874106652007,0.0
India,dynamic,7261,5.963365927558187,0.0
India,anand,7240,5.856353591160221,0.0
US,authority,7233,20.904189133139774,21.78902253560072
India,good,7213,6.266463330098433,0.0
India,creative,7180,6.559888579387187,0.0
India,baba,7165,5.792044661549197,0.0
India,universal,7163,5.668016194331984,0.0
India,sky,7136,6.165919282511211,0.0
India,first,7133,5.425487172297771,0.0
India,united,7127,5.345867826574997,0.0
US,society,7101,21.743416420222502,22.743275594986624
India,gold,7087,6.1803301820234235,0.0
India,guru,7062,5.253469272160861,0.0
US,capital,7044,2.1436683702441792,0.0
India,ram,7000,5.742857142857143,0.0
US,commission,6976,21.029243119266056,22.477064220183486
India,white,6968,5.8266360505166475,0.0
US,ii,6964,0.832854681217691,0.0
India,eastern,6943,5.876422295837534,0.0
US,district,6903,22.685788787483702,24.540055048529624
India,seven,6874,6.182717486179809,0.0
India,bombay,6872,6.082654249126892,0.0
India,vijay,6864,5.536130536130536,0.0
India,high,6834,5.750658472344162,0.0
India,indo,6828,6.048623315758641,0.0
India,balaji,6781,6.650936440053091,0.0
India,raj,6767,6.605585931727501,0.0
India,al,6737,5.388154965118005,0.0
India,shyam,6730,5.408618127786033,0.0
India,fortune,6688,5.547248803827752,0.0
India,unique,6659,7.133203183661211,0.0
India,sunrise,6630,6.078431372549019,0.0
US,foundation,6629,21.828330064866496,23.457535073163374
India,shiv,6627,5.4775916704391125,0.01508978421608571
India,bharat,6602,5.89215389275977,0.0
India,gujarat,6573,5.887722501141032,0.0
India,apex,6525,5.425287356321839,0.0
India,pioneer,6523,7.695845469875824,0.0
India,indian,6511,7.2799877131009065,0.0
India,black,6493,5.852456491606346,0.0
India,southern,6488,6.088162762022195,0.0
India,urban,6486,6.475485661424607,0.0
India,hitech,6475,6.254826254826256,0.0
India,golden,6424,6.055417185554171,0.0
US,board,6351,23.114470162179185,24.626043142812158
India,all,6222,5.8341369334619095,0.0
US,dental,6060,7.772277227722772,0.0
US,health,6037,3.594500579758158,0.0
India,alpha,5890,5.840407470288625,0.0
India,lakshmi,5654,5.960382030420941,0.0
India,technology,5526,4.759319580166486,0.0
US,empire,5523,2.2270505160239003,0.0
India,sree,5510,5.15426497277677,0.0
US,regional,5352,2.167414050822123,0.0
US,pinnacle,5299,1.773919607473108,0.0
US,colonial,5297,2.284311874646026,0.0
India,consultants,5276,5.022744503411675,0.0
US,interstate,5231,2.198432422099025,0.0
US,gulf,5194,2.3296110897189064,0.0
US,dentistry,5178,8.072614909231364,0.0
India,developers,5170,5.686653771760155,0.0
India,jai,5126,4.838080374561062,0.0
US,secure,4952,1.9789983844911148,0.0
US,best,4907,2.4862441410230285,0.0
India,foundation,4870,5.277207392197125,0.0
US,federal,4863,2.0357803824799507,0.0
US,ridge,4854,2.389781623403379,0.0
US,bay,4845,2.1259029927760578,0.0
US,vanguard,4832,2.0902317880794703,0.0
US,green,4829,2.360737212673431,0.0
US,integrated,4805,2.3933402705515086,0.0
US,all,4703,2.5302998086327877,0.0
US,heartland,4679,2.115836717247275,0.0
US,metropolitan,4639,2.4358697995257597,0.0
US,american,4627,3.198616814350551,0.0
US,great,4620,2.7705627705627704,0.0
US,horizon,4605,2.9315960912052117,0.0
US,better,4599,2.3918243096325287,0.0
US,specialists,4597,3.437024146182293,0.0
US,patriot,4590,2.440087145969499,0.0
US,allied,4579,2.336754749945403,0.0
India,consultancy,4560,5.087719298245614,0.0
US,diamond,4529,2.7599911680282623,0.0
US,physicians,4497,3.3800311318656884,0.0
US,blue,4495,3.092324805339266,0.0
US,dynamic,4437,3.2003606040117196,0.0
US,first,4432,2.4819494584837543,0.0
US,pacific,4431,3.2046941999548633,0.0
US,united,4421,3.0536077810450126,0.0
US,national,4363,2.292000916800367,0.0
India,agro,4329,5.844305844305844,0.0
US,medicine,4292,4.263746505125816,0.0
US,midwest,4289,2.541384938214036,0.0
US,safe,4230,3.1914893617021276,0.0
India,management,4215,4.483985765124555,0.0
US,signature,4193,3.33889816360601,0.0
US,ace,4191,2.1951801479360533,0.0
US,atlantic,4183,3.3229739421467848,0.0
US,cascade,4180,3.5645933014354063,0.0
US,piedmont,4176,2.2988505747126435,0.0
US,worldwide,4162,0.9610764055742432,0.0
US,bright,4155,3.1528279181708787,0.0
US,strategic,4093,2.6875152699731246,0.0
US,ventures,4087,0.48935649620748717,0.0
US,apex,4073,2.995335133808004,0.0
US,silver,4072,3.3398821218074657,0.0
US,desert,4071,2.0633750921149594,0.0
US,trusted,4070,3.3169533169533167,0.0
US,liberty,4066,2.828332513526808,0.0
US,preparatory,4063,0.44302239724341624,0.0
US,enterprises,4062,0.34465780403741997,0.0
US,rapid,4059,2.8085735402808574,0.0
US,frontier,4039,2.8472394156969547,0.0
US,creative,4034,3.1978185423896877,0.0
US,modern,4021,2.959462820193982,0.0
US,reliable,4017,3.0868807567836694,0.0
US,premier,3999,3.0007501875468865,0.0
India,consulting,3986,4.741595584545911,0.0
India,marketing,3986,5.644756648268942,0.0
US,complete,3980,2.3618090452261304,0.0
US,innovative,3976,2.5653923541247488,0.0
US,delta,3972,4.103726082578047,0.0
India,atomobails,3956,8.923154701718907,0.0
India,infra,3954,5.48811330298432,0.0
